Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1668906946,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1668906947,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1668906948,3,,Aggregated,0.000000,0.000000,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,2,0,604.9545000000003,980.8315000000001,604.9545000000003,1356.7085,129.0
1668906949,4,,Aggregated,0.000000,0.000000,790,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,5,0,790.0,940.9433000000001,551.9638000000002,1400.3671,129.0
1668906950,5,,Aggregated,0.500000,0.000000,620,790,1200,1400,1400,1400,1400,1400,1400,1400,1400,10,0,600.0,816.9463800000002,538.5163000000003,1400.3671,129.0
1668906951,6,,Aggregated,1.000000,0.000000,730,790,1200,1200,1400,1400,1400,1400,1400,1400,1400,15,0,730.0,813.4820800000001,523.1164999999995,1400.3671,129.0
1668906952,7,,Aggregated,2.250000,0.000000,790,1000,1200,1200,1400,1400,1400,1400,1400,1400,1400,20,0,780.0,861.3845350000001,523.1164999999995,1406.4483999999995,129.0
1668906953,8,,Aggregated,2.800000,0.000000,1000,1000,1100,1200,1400,1400,1600,1600,1600,1600,1600,26,0,800.0,926.0935000000002,523.1164999999995,1568.6032,129.0
1668906954,9,,Aggregated,3.166667,0.000000,1000,1100,1100,1200,1400,1600,1900,1900,1900,1900,1900,31,0,1000.0,979.8408322580648,523.1164999999995,1851.1718999999998,129.0
1668906955,10,,Aggregated,3.428571,0.000000,1100,1200,1200,1300,1400,1900,1900,1900,1900,1900,1900,37,0,1100.0,1041.9870513513515,523.1164999999995,1908.0214000000008,129.0
1668906956,11,,Aggregated,3.625000,0.000000,1100,1200,1400,1400,1400,1900,2000,2000,2000,2000,2000,43,0,1100.0,1105.4377372093024,523.1164999999995,1988.9997000000008,129.0
1668906957,12,,Aggregated,3.888889,0.000000,1200,1400,1400,1400,1700,1900,2000,2000,2000,2000,2000,48,0,1100.0,1161.3842104166667,523.1164999999995,1988.9997000000008,129.0
1668906958,13,,Aggregated,4.100000,0.000000,1200,1400,1600,1700,1700,1900,2000,2900,2900,2900,2900,53,0,1200.0,1233.874983018868,523.1164999999995,2885.4091999999996,129.0
1668906959,14,,Aggregated,4.600000,0.000000,1300,1400,1700,1700,1900,2200,2700,2900,2900,2900,2900,58,0,1200.0,1310.5578258620692,523.1164999999995,2885.4091999999996,129.0
1668906960,15,,Aggregated,5.100000,0.000000,1400,1700,1700,1900,2100,2200,2900,2900,2900,2900,2900,64,0,1400.0,1399.5857437500001,523.1164999999995,2921.9562000000005,129.0
1668906961,16,,Aggregated,5.300000,0.000000,1400,1700,1900,2100,2300,2700,2900,3000,3000,3000,3000,69,0,1400.0,1473.9167260869567,523.1164999999995,2957.0173999999997,129.0
1668906962,17,,Aggregated,5.300000,0.000000,1400,1700,2100,2100,2500,2700,2900,3000,3000,3000,3000,74,0,1400.0,1542.8600297297298,523.1164999999995,2957.0173999999997,129.0
1668906963,18,,Aggregated,5.300000,0.000000,1600,1900,2100,2300,2700,2900,3000,3100,3100,3100,3100,79,0,1600.0,1621.9854443037975,523.1164999999995,3085.841799999999,129.0
1668906965,19,,Aggregated,5.400000,0.000000,1700,2100,2500,2700,3000,3100,3400,3700,3700,3700,3700,89,0,1700.0,1792.0565651685397,523.1164999999995,3748.216600000001,129.0
1668906966,20,,Aggregated,5.400000,0.000000,1700,2300,2700,2800,3000,3200,3600,3700,3700,3700,3700,94,0,1700.0,1862.5712042553196,523.1164999999995,3748.216600000001,129.0
1668906967,21,,Aggregated,5.000000,0.000000,1900,2400,2700,2900,3000,3200,3600,3700,3700,3700,3700,99,0,1900.0,1911.494353535354,523.1164999999995,3748.216600000001,129.0
1668906968,22,,Aggregated,5.300000,0.000000,1900,2500,2800,3000,3100,3300,3600,3700,3800,3800,3800,105,0,1900.0,1988.587244761905,523.1164999999995,3752.4409,129.0
1668906969,23,,Aggregated,5.300000,0.000000,2100,2700,2900,3000,3300,3600,3700,3800,3900,3900,3900,110,0,2000.0,2065.1231963636365,523.1164999999995,3879.0282000000007,129.0
1668906970,24,,Aggregated,5.200000,0.000000,2100,2700,3000,3100,3600,3700,3800,3900,4200,4200,4200,115,0,2100.0,2142.230927826087,523.1164999999995,4235.465199999997,129.0
1668906971,25,,Aggregated,5.200000,0.000000,2200,2900,3000,3200,3600,3900,4000,4200,4300,4300,4300,120,0,2100.0,2218.71963,523.1164999999995,4339.071199999999,129.0
1668906972,26,,Aggregated,5.200000,0.000000,2300,2900,3100,3400,3800,4000,4200,4200,4300,4300,4300,125,0,2300.0,2293.5462328000003,523.1164999999995,4339.071199999999,129.0
1668906973,27,,Aggregated,5.300000,0.000000,2400,3000,3200,3600,4000,4200,4500,4500,4900,4900,4900,130,0,2300.0,2378.682444615385,523.1164999999995,4854.604299999998,129.0
1668906974,28,,Aggregated,5.200000,0.000000,2500,3000,3400,3600,4000,4400,4700,4900,5100,5100,5100,134,0,2500.0,2448.049404477612,523.1164999999995,5101.324699999999,129.0
1668906975,29,,Aggregated,5.100000,0.000000,2500,3100,3600,3800,4400,4800,5000,5100,5300,5300,5300,140,0,2500.0,2554.0254878571436,523.1164999999995,5349.582300000002,129.0
1668906976,30,,Aggregated,5.400000,0.000000,2700,3100,3600,3900,4600,4900,5100,5300,5500,5500,5500,145,0,2700.0,2640.9627620689657,523.1164999999995,5489.9755,129.0
1668906977,31,,Aggregated,5.100000,0.000000,2700,3300,3800,4000,4900,5000,5500,5600,5600,5600,5600,150,0,2700.0,2728.3203320000007,523.1164999999995,5612.236400000001,129.0
1668906978,32,,Aggregated,5.000000,0.000000,2800,3400,3900,4200,4900,5100,5500,5600,5600,5600,5600,153,0,2800.0,2779.997728104576,523.1164999999995,5612.236400000001,129.0
1668906979,33,,Aggregated,5.000000,0.000000,2900,3600,4000,4400,5100,5500,5600,5700,6100,6100,6100,159,0,2900.0,2888.665111320756,523.1164999999995,6095.271400000001,129.0
1668906980,34,,Aggregated,4.800000,0.000000,2900,3600,4200,4600,5200,5600,5700,6100,6100,6100,6100,163,0,2900.0,2961.2878693251546,523.1164999999995,6095.271400000001,129.0
1668906981,35,,Aggregated,4.900000,0.000000,3000,3800,4400,4800,5500,5700,6000,6100,6600,6600,6600,168,0,3000.0,3053.4974720238106,523.1164999999995,6591.216500000001,129.0
1668906982,36,,Aggregated,4.800000,0.000000,3000,3900,4500,4900,5600,6000,6200,6200,6600,6600,6600,173,0,3000.0,3144.1069092485554,523.1164999999995,6591.216500000001,129.0
1668906983,37,,Aggregated,4.700000,0.000000,3000,4000,4800,5000,5900,6200,6400,6600,6900,6900,6900,178,0,3000.0,3238.4353926966296,523.1164999999995,6861.8512999999975,129.0
1668906984,38,,Aggregated,4.800000,0.000000,3000,4000,4900,5200,6000,6400,6600,6900,7000,7000,7000,183,0,3000.0,3329.1864672131146,523.1164999999995,6960.7448,129.0
1668906985,39,,Aggregated,4.800000,0.000000,3100,4300,5000,5500,6200,6400,6600,6900,7000,7000,7000,189,0,3100.0,3427.1048169312166,523.1164999999995,6960.7448,129.0
1668906986,40,,Aggregated,4.900000,0.000000,3200,4500,5200,5600,6300,6500,6800,6900,7000,7000,7000,195,0,3200.0,3522.506628205128,523.1164999999995,6960.7448,129.0
1668906987,41,,Aggregated,4.900000,0.000000,3400,4700,5500,5900,6400,6500,6800,6900,7000,7000,7000,200,0,3300.0,3597.3772374999994,523.1164999999995,6960.7448,129.0
1668906988,42,,Aggregated,5.000000,0.000000,3600,4900,5600,6000,6400,6600,6800,6900,7000,7000,7000,205,0,3600.0,3671.587363414633,523.1164999999995,6988.143999999998,129.0
1668906989,43,,Aggregated,5.000000,0.000000,3600,4900,5600,6100,6500,6600,6900,7000,7100,7100,7100,209,0,3600.0,3730.1898511961713,523.1164999999995,7130.395200000003,129.0
1668906990,44,,Aggregated,5.200000,0.000000,3600,5000,5900,6200,6500,6900,7000,7000,7400,7400,7400,215,0,3600.0,3821.254359999998,523.1164999999995,7424.3089,129.0
1668906991,45,,Aggregated,5.100000,0.000000,3800,5100,6100,6400,6600,6900,7000,7000,7400,7400,7400,220,0,3700.0,3893.912263636362,523.1164999999995,7424.3089,129.0
1668906992,46,,Aggregated,5.200000,0.000000,3800,5400,6200,6400,6800,7000,7200,7300,7700,7700,7700,225,0,3800.0,3970.2530559999987,523.1164999999995,7710.409400000003,129.0
1668906993,47,,Aggregated,5.200000,0.000000,3900,5500,6300,6400,6900,7200,7500,7500,7900,7900,7900,231,0,3900.0,4062.4226099567086,523.1164999999995,7877.714999999995,129.0
1668906994,48,,Aggregated,5.200000,0.000000,4000,5600,6400,6500,7000,7400,7700,7700,8100,8100,8100,236,0,4000.0,4140.146023305084,523.1164999999995,8141.103999999998,129.0
1668906995,49,,Aggregated,5.300000,0.000000,4000,5700,6400,6500,7000,7500,7800,7900,8300,8300,8300,241,0,4000.0,4218.547813692946,523.1164999999995,8342.7571,129.0
1668906996,50,,Aggregated,5.300000,0.000000,4200,5900,6400,6600,7300,7700,7900,8100,8600,8600,8600,247,0,4200.0,4310.557078137652,523.1164999999995,8566.979699999998,129.0
1668906997,50,,Aggregated,5.200000,0.000000,4400,6100,6500,6700,7500,7900,8000,8300,8600,8600,8600,252,0,4400.0,4386.027580555554,523.1164999999995,8566.979699999998,129.0
1668906998,50,,Aggregated,5.200000,0.000000,4500,6200,6500,6900,7700,8000,8100,8500,8600,8600,8600,258,0,4500.0,4473.37804341085,523.1164999999995,8602.763199999998,129.0
1668906999,50,,Aggregated,5.200000,0.000000,4700,6300,6600,7000,7800,8000,8300,8500,8600,8600,8600,263,0,4700.0,4545.161387072241,523.1164999999995,8602.763199999998,129.0
1668907000,50,,Aggregated,5.200000,0.000000,4800,6400,6700,7000,7900,8200,8400,8600,8900,8900,8900,269,0,4800.0,4632.98178104089,523.1164999999995,8894.545600000001,129.0
1668907001,50,,Aggregated,5.300000,0.000000,4900,6400,6900,7200,8000,8300,8600,8600,9000,9000,9000,274,0,4900.0,4705.567370802918,523.1164999999995,8993.861600000002,129.0
1668907002,50,,Aggregated,5.300000,0.000000,4900,6400,6900,7300,8100,8400,8600,8900,9200,9200,9200,279,0,4900.0,4779.811854121863,523.1164999999995,9211.0469,129.0
1668907003,50,,Aggregated,5.400000,0.000000,5000,6500,7000,7500,8200,8600,8900,9000,9500,9500,9500,284,0,5000.0,4854.116796830985,523.1164999999995,9518.1981,129.0
1668907004,50,,Aggregated,5.300000,0.000000,5100,6500,7000,7700,8400,8900,8900,9200,9600,9600,9600,290,0,5100.0,4940.848037241378,523.1164999999995,9602.397600000004,129.0
1668907005,50,,Aggregated,5.300000,0.000000,5400,6600,7300,7800,8500,8900,9200,9500,9600,9600,9600,296,0,5300.0,5027.803599324322,523.1164999999995,9638.633299999996,129.0
1668907006,50,,Aggregated,5.300000,0.000000,5500,6600,7500,7900,8600,9000,9300,9400,9600,9600,9600,301,0,5500.0,5099.286145847173,523.1164999999995,9638.633299999996,129.0
1668907007,50,,Aggregated,5.400000,0.000000,5600,6700,7500,8000,8900,9200,9400,9400,9600,9600,9600,306,0,5500.0,5168.511534967318,523.1164999999995,9638.633299999996,129.0
1668907008,50,,Aggregated,5.300000,0.000000,5600,6900,7700,8000,8900,9300,9400,9500,9700,9700,9700,310,0,5600.0,5223.890504516126,523.1164999999995,9665.927499999994,129.0
1668907009,50,,Aggregated,5.300000,0.000000,5600,6900,7700,8100,8900,9300,9500,9700,10000,10000,10000,313,0,5600.0,5268.129831309902,523.1164999999995,9961.798299999999,129.0
1668907010,50,,Aggregated,5.300000,0.000000,5700,6900,7900,8100,8900,9400,9700,10000,10000,10000,10000,316,0,5600.0,5315.1976911392385,523.1164999999995,10394.715600000005,129.0
1668907011,50,,Aggregated,5.000000,0.000000,5900,7000,7900,8200,9100,9400,10000,11000,11000,11000,11000,320,0,5700.0,5383.328549687498,523.1164999999995,10797.653800000006,129.0
1668907012,50,,Aggregated,4.800000,0.000000,5900,7000,7900,8300,9200,9600,11000,11000,11000,11000,11000,325,0,5900.0,5467.132156615384,523.1164999999995,10872.2286,129.0
1668907013,50,,Aggregated,4.500000,0.000000,6100,7100,8000,8400,9300,10000,11000,11000,11000,11000,11000,331,0,6100.0,5563.446749244711,523.1164999999995,10872.2286,129.0
1668907014,50,,Aggregated,4.600000,0.000000,6200,7200,8100,8600,9400,11000,11000,11000,11000,11000,11000,336,0,6100.0,5641.0906306547595,523.1164999999995,10872.2286,129.0
1668907015,50,,Aggregated,4.600000,0.000000,6200,7500,8200,8600,9500,11000,11000,11000,11000,11000,11000,341,0,6200.0,5717.388123460409,523.1164999999995,10873.170100000003,129.0
1668907016,50,,Aggregated,4.600000,0.000000,6300,7500,8300,8900,10000,11000,11000,11000,11000,11000,11000,347,0,6300.0,5806.3430576368855,523.1164999999995,10883.291099999993,129.0
1668907017,50,,Aggregated,4.500000,0.000000,6400,7700,8400,8900,11000,11000,11000,11000,11000,11000,11000,352,0,6300.0,5878.361874147725,523.1164999999995,10906.719300000006,129.0
1668907018,50,,Aggregated,4.600000,0.000000,6400,7800,8600,9000,11000,11000,11000,11000,11000,11000,11000,357,0,6400.0,5948.276428851539,523.1164999999995,10931.827200000007,129.0
1668907019,50,,Aggregated,4.600000,0.000000,6400,7900,8600,9100,11000,11000,11000,11000,11000,11000,11000,362,0,6400.0,6013.449413259666,523.1164999999995,10931.827200000007,129.0
1668907020,50,,Aggregated,4.600000,0.000000,6400,7900,8800,9200,11000,11000,11000,11000,11000,11000,11000,366,0,6400.0,6060.280065573767,523.1164999999995,10931.827200000007,129.0
1668907021,50,,Aggregated,4.800000,0.000000,6400,7900,8900,9300,11000,11000,11000,11000,11000,11000,11000,369,0,6400.0,6093.268218157178,523.1164999999995,10931.827200000007,129.0
1668907022,50,,Aggregated,5.000000,0.000000,6500,8000,8900,9400,11000,11000,11000,11000,11000,11000,11000,374,0,6400.0,6149.0675593582855,523.1164999999995,10931.827200000007,129.0
1668907023,50,,Aggregated,5.000000,0.000000,6500,8100,9000,9400,11000,11000,11000,11000,11000,11000,11000,380,0,6500.0,6213.579522368417,523.1164999999995,10931.827200000007,129.0
